Block	CountA	CountB	SNVs	Haplotype
1	2	2	match	match
2	2	2	match	match
3	2	2	match	match
4	2	2	match	match
5	2	2	match	match
6	3	3	match	match
7	2	2	match	match
8	2	2	match	match
9	2	2	match	match
10	2	2	match	match
11	2	2	match	match
12	2	2	match	match
13	2	2	match	match
14	2	2	match	match
15	2	2	match	match
16	2	2	match	match
17	2	2	match	match
18	2	2	match	match
19	2	2	match	match
20	2	2	match	match
21	2	2	match	match
22	2	2	match	match
23	2	2	match	match
24	2	2	match	match
25	5	5	match	match
26	3	3	match	match
27	3	3	match	match
28	2	2	match	match
29	3	3	match	match
30	3	3	match	match
31	2	2	match	match
32	2	2	match	match
33	5	5	match	-
34	5	5	match	match
35	2	2	match	match
36	2	2	match	match
37	2	2	match	match
38	7	7	match	match
39	2	2	match	match
40	2	2	match	match
41	3	3	match	match
42	7	7	match	match
43	5	5	match	match
44	5	5	match	match
45	4	4	match	match
46	2	2	match	match
47	2	2	match	match
48	2	2	match	match
49	5	5	match	match
50	2	2	match	match
51	5	5	match	match
52	4	4	match	match
53	2	2	match	match
54	3	3	match	match
55	5	5	match	match
56	8	8	match	-
57	2	2	match	match
58	2	2	match	match
59	3	3	match	match
60	2	2	match	match
61	3	3	match	match
62	2	2	match	match
63	3	3	match	match
64	3	3	match	match
65	8	8	match	match
66	11	11	match	match
67	21	21	match	match
68	2	2	match	match
69	10	9	-	-
70	2	2	match	match
71	3	3	match	match
72	3	3	match	match
73	2	2	match	match
74	2	2	match	match
75	5	5	match	match
76	2	2	match	match
77	2	2	match	match
78	2	2	match	match
79	2	2	match	match
80	3	3	match	match
81	3	3	match	match
82	5	5	match	match
83	2	2	match	match
84	2	2	match	match
85	5	5	match	match
86	4	4	match	-
87	2	2	match	match
88	2	2	match	match
89	11	11	match	match
90	9	9	match	-
91	3	3	match	match
92	2	2	match	match
93	2	2	match	match
94	3	3	match	match
95	9	9	match	match
96	2	2	match	match
97	4	4	match	match
98	2	2	match	match
99	2	2	match	-
100	4	4	match	match
101	2	2	match	match
102	8	8	match	match
103	3	3	match	match
104	5	5	match	match
105	3	3	match	match
106	22	22	match	-
107	9	9	match	match
108	6	6	match	match
109	2	2	match	match
110	2	2	match	match
111	2	2	match	match
112	2	2	match	match
113	4	4	match	match
114	14	14	match	-
115	4	4	match	match
116	3	3	match	match
117	2	2	match	match
118	3	3	match	match
119	2	2	match	match
120	2	2	match	match
121	2	2	match	match
122	7	7	match	match
123	3	3	match	match
124	2	2	match	match
125	15	15	match	-
126	2	2	match	match
127	3	3	match	match
128	2	2	match	match
129	6	6	match	match
130	4	4	match	match
131	12	12	match	match
132	2	2	match	match
133	5	5	match	match
134	2	2	match	match
135	3	3	match	-
136	2	2	match	match
137	2	2	match	match
138	3	3	match	match
139	2	2	match	match
140	4	4	match	match
141	12	12	match	-
142	2	2	match	match
143	4	4	match	match
144	4	4	match	match
145	2	2	match	match
146	3	3	match	match
147	2	2	match	match
148	2	2	match	match
149	9	9	match	-
150	3	3	match	match
151	5	5	match	match
152	5	5	match	-
153	4	4	match	match
154	4	4	match	match
155	3	3	match	match
156	3	3	match	match
157	11	11	match	match
158	2	2	match	match
159	5	5	match	match
160	7	7	match	match
161	2	2	match	match
162	6	6	match	match
163	2	2	match	match
164	2	2	match	match
165	3	3	match	match
166	2	2	match	match
167	2	2	match	match
168	4	4	match	match
169	3	3	match	match
170	2	2	match	match
171	4	4	match	match
172	9	9	match	match
173	2	2	match	match
174	3	3	match	match
175	3	3	match	match
176	3	3	match	match
177	4	4	match	match
178	3	3	match	match
179	2	2	match	match
180	2	2	match	match
181	2	2	match	match
182	2	2	match	match
183	5	5	match	match
184	2	2	match	match
185	3	3	match	match
186	2	2	match	match
187	9	9	match	match
188	3	3	match	match
189	3	3	match	match
190	2	2	match	match
191	2	2	match	match
192	4	4	match	match
193	4	4	match	match
194	3	3	match	match
195	12	12	match	match
196	2	2	match	match
197	11	11	match	match
198	2	2	match	match
199	3	3	match	match
200	4	4	match	match
201	3	3	match	match
202	2	2	match	match
203	4	4	match	match
204	2	2	match	match
205	2	2	match	match
206	6	6	match	match
207	5	5	match	match
208	2	2	match	match
209	3	3	match	match
210	2	2	match	match
211	2	2	match	match
212	5	5	match	-
213	7	7	match	match
214	4	4	match	match
215	3	3	match	match
216	7	7	match	match
217	2	2	match	match
218	6	6	match	match
219	2	2	match	match
220	2	2	match	match
221	2	2	match	match
222	3	3	match	match
223	2	2	match	match
224	2	2	match	match
225	14	14	match	match
226	11	11	match	match
227	3	3	match	match
228	2	2	match	match
229	2	2	match	match
230	3	3	match	match
231	9	9	match	match
232	3	3	match	match
233	2	2	match	match
234	3	3	match	-
235	2	2	match	match
236	8	8	match	match
237	3	3	match	match
238	2	2	match	match
239	2	2	match	match
240	2	2	match	match
241	3	3	match	match
242	6	6	match	match
243	8	8	match	match
244	2	2	match	match
245	4	4	match	match
246	2	2	match	match
247	2	2	match	match
248	3	3	match	match
249	3	3	match	match
250	3	3	match	match
251	3	3	match	match
252	3	3	match	match
253	2	2	match	match
254	2	2	match	match
255	2	2	match	match
256	4	4	match	match
257	2	2	match	match
258	2	2	match	match
259	3	3	match	match
260	2	2	match	match
261	3	3	match	match
262	2	2	match	match
263	2	2	match	match
264	3	3	match	match
265	4	4	match	match
266	2	2	match	match
267	2	2	match	match
268	2	2	match	match
269	2	2	match	match
270	2	2	match	match
271	2	2	match	match
272	3	3	match	match
273	2	2	match	match
274	2	2	match	match
275	3	3	match	match
276	3	3	match	match
277	2	2	match	match
278	3	3	match	match
279	3	3	match	match
280	2	2	match	match
281	3	3	match	match
282	2	2	match	match
283	2	2	match	match
284	6	6	match	match
285	3	3	match	match
286	2	2	match	match
287	3	3	match	match
288	2	2	match	match
289	2	2	match	match
290	2	2	match	match
291	2	2	match	match
292	2	2	match	match
293	2	2	match	match
294	2	2	match	match
295	8	8	match	-
296	2	2	match	match
297	6	6	match	-
298	2	2	match	match
299	3	3	match	match
300	2	2	match	match
301	2	2	match	match
302	2	2	match	match
303	3	3	match	match
304	2	2	match	match
305	16	16	match	match
306	2	2	match	match
307	2	2	match	match
308	2	2	match	match
309	2	2	match	match
310	3	3	match	match
311	2	2	match	match
312	4	4	match	match
313	4	4	match	match
314	7	7	match	match
315	3	3	match	match
316	2	2	match	match
317	4	4	match	match
318	2	2	match	match
319	3	3	match	match
320	2	2	match	match
321	3	3	match	match
322	2	2	match	match
323	2	2	match	match
324	2	2	match	match
325	9	9	match	match
326	34	33	-	-
327	2	2	match	match
328	2	2	match	match
329	2	2	match	match
330	2	2	match	match
331	4	4	match	match
332	2	2	match	match
333	2	2	match	match
334	2	2	match	match
335	2	2	match	match
336	2	2	match	match
337	2	2	match	match
338	3	3	match	match
339	8	8	match	match
340	8	8	match	match
341	2	2	match	match
342	2	2	match	match
343	2	2	match	match
344	8	8	match	-
345	4	4	match	match
346	2	2	match	match
347	2	2	match	match
348	3	3	match	match
349	2	2	match	match
350	2	2	match	match
351	3	3	match	match
352	2	2	match	match
353	5	5	match	match
354	2	2	match	match
355	7	7	match	match
356	5	5	match	match
357	3	3	match	match
358	2	2	match	match
359	2	2	match	match
360	2	2	match	match
361	2	2	match	match
362	2	2	match	match
363	3	3	match	match
364	8	8	match	-
365	2	2	match	match
366	2	2	match	match
367	6	6	match	match
368	3	3	match	match
369	2	2	match	match
370	2	2	match	match
371	5	5	match	match
372	2	2	match	match
373	9	9	match	-
374	2	2	match	match
375	2	2	match	match
376	2	2	match	match
377	4	4	match	match
378	8	8	match	match
379	3	3	match	match
380	2	2	match	match
381	2	2	match	match
382	2	2	match	match
383	2	2	match	match
384	2	2	match	match
385	5	5	match	match
386	9	9	match	match
387	2	2	match	match
388	2	2	match	match
389	2	2	match	match
390	2	2	match	match
391	2	2	match	match
392	2	2	match	match
393	5	5	match	match
394	10	10	match	match
395	2	2	match	match
396	2	2	match	match
397	4	4	match	match
398	3	3	match	match
399	2	2	match	match
400	4	3	-	-
401	13	13	match	-
402	2	2	match	match
403	5	5	match	match
404	2	2	match	match
405	3	3	match	match
406	2	2	match	match
407	2	2	match	match
408	8	8	match	match
409	2	2	match	match
410	2	2	match	match
411	2	2	match	match
412	5	5	match	match
413	2	2	match	match
414	14	14	match	-
415	2	2	match	match
416	2	2	match	match
417	8	8	match	-
418	2	2	match	match
419	2	2	match	match
420	3	3	match	match
421	2	2	match	match
422	2	2	match	match
423	3	3	match	match
424	2	2	match	match
425	2	2	match	match
426	2	2	match	match
427	3	3	match	match
428	6	6	match	-
429	2	2	match	match
430	2	2	match	match
431	4	4	match	match
432	2	2	match	match
433	2	2	match	match
434	2	2	match	match
435	2	2	match	match
436	2	2	match	match
437	4	4	match	match
438	3	3	match	match
439	4	4	match	match
440	3	3	match	match
