Block	CountA	CountB	SNVs	Haplotype
1	2	2	match	match
2	2	2	match	match
3	2	2	match	match
4	2	2	match	match
5	2	2	match	match
6	3	3	match	match
7	2	2	match	match
8	2	2	match	match
9	2	2	match	match
10	2	2	match	match
11	2	2	match	match
12	2	2	match	match
13	2	2	match	match
14	2	2	match	match
15	2	2	match	match
16	2	2	match	match
17	2	2	match	match
18	2	2	match	match
19	2	2	match	match
20	2	2	match	match
21	2	2	match	match
22	2	2	match	match
23	2	2	match	match
24	2	2	match	match
25	5	5	match	match
26	3	3	match	match
27	3	3	match	match
28	2	2	match	match
29	3	3	match	match
30	3	3	match	match
31	2	2	match	match
32	2	2	match	match
33	5	5	match	-
34	5	5	match	match
35	2	2	match	match
36	2	2	match	match
37	2	2	match	match
38	7	7	match	match
39	2	2	match	match
40	2	2	match	match
41	3	3	match	match
42	7	7	match	match
43	5	5	match	match
44	5	5	match	match
45	4	4	match	match
46	2	2	match	match
47	2	2	match	match
48	2	2	match	match
49	5	5	match	match
50	2	2	match	match
51	5	5	match	match
52	4	4	match	match
53	2	2	match	match
54	3	3	match	match
55	5	5	match	match
56	8	8	match	-
57	2	2	match	match
58	2	2	match	match
59	3	3	match	match
60	2	2	match	match
61	3	3	match	match
62	2	2	match	match
63	3	3	match	match
64	3	3	match	match
65	9	9	match	-
66	11	11	match	match
67	21	21	match	match
68	2	2	match	match
69	12	11	-	-
70	2	2	match	match
71	3	3	match	match
72	3	3	match	match
73	2	2	match	-
74	2	2	match	match
75	2	2	match	match
76	5	5	match	match
77	2	2	match	match
78	2	2	match	match
79	2	2	match	match
80	2	2	match	match
81	3	3	match	match
82	3	3	match	match
83	5	5	match	match
84	2	2	match	match
85	2	2	match	match
86	5	5	match	match
87	4	4	match	-
88	2	2	match	match
89	2	2	match	match
90	11	11	match	match
91	9	9	match	-
92	3	3	match	match
93	2	2	match	match
94	2	2	match	match
95	3	3	match	match
96	9	9	match	match
97	2	2	match	match
98	4	4	match	match
99	2	2	match	match
100	2	2	match	-
101	4	4	match	match
102	2	2	match	match
103	8	8	match	match
104	3	3	match	match
105	5	5	match	match
106	3	3	match	match
107	22	22	match	-
108	9	9	match	-
109	6	6	match	match
110	2	2	match	match
111	2	2	match	match
112	2	2	match	match
113	2	2	match	match
114	4	4	match	match
115	14	14	match	-
116	2	2	match	match
117	4	4	match	match
118	3	3	match	match
119	2	2	match	match
120	3	3	match	match
121	2	2	match	match
122	2	2	match	match
123	2	2	match	match
124	7	7	match	match
125	3	3	match	match
126	2	2	match	match
127	15	15	match	-
128	2	2	match	match
129	3	3	match	match
130	2	2	match	match
131	6	6	match	match
132	4	4	match	match
133	12	12	match	match
134	2	2	match	match
135	5	5	match	match
136	2	2	match	match
137	3	3	match	-
138	2	2	match	match
139	2	2	match	match
140	3	3	match	match
141	2	2	match	match
142	4	4	match	match
143	12	12	match	-
144	2	2	match	match
145	5	5	match	-
146	4	4	match	match
147	2	2	match	match
148	3	3	match	match
149	2	2	match	match
150	2	2	match	match
151	9	9	match	-
152	3	3	match	match
153	5	5	match	match
154	5	5	match	-
155	4	4	match	match
156	4	4	match	match
157	3	3	match	match
158	3	3	match	match
159	11	11	match	match
160	2	2	match	match
161	5	5	match	match
162	7	7	match	match
163	2	2	match	match
164	6	6	match	match
165	2	2	match	match
166	2	2	match	match
167	3	3	match	match
168	2	2	match	match
169	3	2	-	-
170	4	4	match	match
171	3	3	match	match
172	2	2	match	match
173	4	4	match	match
174	9	9	match	match
175	2	2	match	match
176	3	3	match	match
177	3	3	match	match
178	3	3	match	match
179	4	4	match	match
180	3	3	match	match
181	2	2	match	match
182	2	2	match	match
183	2	2	match	match
184	2	2	match	match
185	5	5	match	match
186	2	2	match	match
187	3	3	match	match
188	2	2	match	match
189	9	9	match	match
190	3	3	match	match
191	3	3	match	match
192	2	2	match	match
193	2	2	match	match
194	4	4	match	match
195	4	4	match	match
196	3	3	match	match
197	12	12	match	match
198	2	2	match	match
199	11	11	match	match
200	2	2	match	match
201	3	3	match	match
202	4	4	match	match
203	3	3	match	match
204	2	2	match	match
205	4	4	match	match
206	2	2	match	match
207	2	2	match	match
208	6	6	match	match
209	5	5	match	match
210	2	2	match	match
211	3	3	match	match
212	2	2	match	match
213	2	2	match	match
214	5	5	match	-
215	7	7	match	match
216	4	4	match	match
217	3	3	match	match
218	7	7	match	match
219	2	2	match	match
220	6	6	match	match
221	2	2	match	match
222	2	2	match	match
223	2	2	match	match
224	3	3	match	match
225	2	2	match	match
226	2	2	match	match
227	14	14	match	match
228	11	11	match	match
229	3	3	match	match
230	2	2	match	match
231	2	2	match	match
232	3	3	match	match
233	9	9	match	match
234	3	3	match	match
235	2	2	match	match
236	3	3	match	-
237	2	2	match	match
238	8	8	match	match
239	3	3	match	match
240	2	2	match	match
241	2	2	match	match
242	2	2	match	match
243	3	3	match	match
244	6	6	match	match
245	8	8	match	match
246	2	2	match	match
247	4	4	match	match
248	2	2	match	match
249	2	2	match	match
250	3	3	match	match
251	3	3	match	match
252	3	3	match	match
253	3	3	match	match
254	3	3	match	match
255	2	2	match	match
256	2	2	match	match
257	2	2	match	match
258	4	4	match	match
259	2	2	match	match
260	2	2	match	match
261	3	3	match	match
262	2	2	match	match
263	3	3	match	match
264	2	2	match	match
265	3	3	match	match
266	3	3	match	match
267	4	4	match	match
268	2	2	match	match
269	2	2	match	match
270	2	2	match	match
271	2	2	match	match
272	2	2	match	match
273	2	2	match	match
274	3	3	match	match
275	2	2	match	match
276	2	2	match	match
277	3	3	match	match
278	3	3	match	match
279	2	2	match	match
280	3	3	match	match
281	3	3	match	match
282	2	2	match	match
283	3	3	match	match
284	2	2	match	match
285	2	2	match	match
286	6	6	match	match
287	3	3	match	match
288	2	2	match	match
289	3	3	match	match
290	2	2	match	match
291	2	2	match	match
292	2	2	match	match
293	2	2	match	match
294	2	2	match	match
295	2	2	match	match
296	2	2	match	match
297	8	8	match	-
298	2	2	match	match
299	6	6	match	match
300	2	2	match	match
301	3	3	match	match
302	2	2	match	match
303	2	2	match	match
304	2	2	match	match
305	3	3	match	match
306	2	2	match	match
307	17	17	match	-
308	2	2	match	match
309	2	2	match	match
310	2	2	match	match
311	2	2	match	match
312	3	3	match	match
313	2	2	match	match
314	4	4	match	match
315	4	4	match	match
316	7	7	match	match
317	3	3	match	match
318	2	2	match	match
319	4	4	match	match
320	2	2	match	match
321	3	3	match	match
322	2	2	match	match
323	3	3	match	match
324	2	2	match	match
325	2	2	match	match
326	2	2	match	match
327	9	9	match	match
328	34	33	-	-
329	2	2	match	match
330	2	2	match	match
331	2	2	match	match
332	2	2	match	match
333	4	4	match	match
334	2	2	match	match
335	2	2	match	match
336	2	2	match	match
337	2	2	match	match
338	2	2	match	-
339	2	2	match	match
340	3	3	match	match
341	8	8	match	match
342	8	8	match	match
343	2	2	match	match
344	2	2	match	match
345	2	2	match	match
346	8	8	match	-
347	4	4	match	-
348	2	2	match	match
349	2	2	match	match
350	3	3	match	match
351	2	2	match	match
352	2	2	match	match
353	3	3	match	match
354	2	2	match	match
355	5	5	match	match
356	2	2	match	match
357	7	7	match	match
358	5	5	match	match
359	3	3	match	match
360	2	2	match	match
361	2	2	match	match
362	2	2	match	match
363	2	2	match	match
364	2	2	match	-
365	2	2	match	match
366	3	3	match	match
367	8	8	match	-
368	2	2	match	match
369	2	2	match	match
370	6	6	match	match
371	3	3	match	match
372	2	2	match	match
373	2	2	match	match
374	5	5	match	match
375	2	2	match	match
376	9	9	match	-
377	2	2	match	match
378	2	2	match	match
379	2	2	match	match
380	4	4	match	match
381	8	8	match	match
382	3	3	match	match
383	2	2	match	match
384	2	2	match	-
385	2	2	match	match
386	2	2	match	match
387	2	2	match	match
388	5	5	match	match
389	9	9	match	match
390	2	2	match	match
391	2	2	match	match
392	2	2	match	match
393	2	2	match	match
394	2	2	match	match
395	2	2	match	match
396	5	5	match	match
397	10	10	match	match
398	2	2	match	match
399	2	2	match	match
400	4	4	match	match
401	3	3	match	match
402	2	2	match	match
403	4	3	-	-
404	13	13	match	-
405	2	2	match	match
406	5	5	match	match
407	2	2	match	match
408	3	3	match	match
409	2	2	match	match
410	2	2	match	match
411	8	8	match	match
412	2	2	match	match
413	2	2	match	match
414	2	2	match	match
415	5	5	match	match
416	2	2	match	match
417	14	14	match	-
418	2	2	match	match
419	2	2	match	match
420	8	8	match	-
421	2	2	match	match
422	2	2	match	match
423	3	3	match	match
424	2	2	match	match
425	2	2	match	match
426	3	3	match	match
427	2	2	match	match
428	2	2	match	match
429	2	2	match	match
430	3	3	match	match
431	6	6	match	-
432	2	2	match	match
433	2	2	match	match
434	4	4	match	match
435	2	2	match	match
436	2	2	match	match
437	2	2	match	match
438	2	2	match	match
439	2	2	match	match
440	4	4	match	match
