Block	CountA	CountB	SNVs	Haplotype
1	2	1	-	-
2	2	2	match	match
3	2	2	match	match
4	2	1	-	-
5	2	1	-	-
6	3	2	-	-
7	2	1	-	-
8	2	1	-	-
9	2	1	-	-
10	2	1	-	-
11	2	1	-	-
12	2	1	-	-
13	2	1	-	-
14	2	2	match	-
15	2	2	match	match
16	2	2	match	-
17	2	1	-	-
18	2	1	-	-
19	2	2	match	match
20	2	1	-	-
21	2	1	-	-
22	2	1	-	-
23	2	1	-	-
24	2	1	-	-
25	5	5	match	-
26	3	2	-	-
27	3	2	-	-
28	2	1	-	-
29	3	2	-	-
30	3	2	-	-
31	2	1	-	-
32	2	1	-	-
33	5	5	match	match
34	5	4	-	-
35	2	1	-	-
36	2	1	-	-
37	2	1	-	-
38	7	6	-	-
39	2	1	-	-
40	2	1	-	-
41	3	2	-	-
42	7	6	-	-
43	5	3	-	-
44	5	4	-	-
45	4	3	-	-
46	2	2	match	match
47	2	1	-	-
48	2	1	-	-
49	5	4	-	-
50	2	1	-	-
51	5	5	match	-
52	4	3	-	-
53	2	2	match	match
54	3	3	match	-
55	5	4	-	-
56	8	7	-	-
57	2	1	-	-
58	2	1	-	-
59	3	2	-	-
60	2	1	-	-
61	3	3	match	-
62	2	1	-	-
63	3	2	-	-
64	3	2	-	-
65	8	6	-	-
66	11	7	-	-
67	21	12	-	-
68	2	1	-	-
69	10	9	-	-
70	2	1	-	-
71	3	3	match	-
72	3	2	-	-
73	2	2	match	-
74	2	1	-	-
75	5	2	-	-
76	2	2	match	-
77	2	2	match	match
78	2	0	-	-
79	2	2	match	-
80	3	3	match	-
81	3	2	-	-
82	5	4	-	-
83	2	1	-	-
84	2	2	match	-
85	5	3	-	-
86	4	3	-	-
87	2	2	match	-
88	2	1	-	-
89	11	8	-	-
90	9	7	-	-
91	3	2	-	-
92	2	1	-	-
93	2	2	match	match
94	3	2	-	-
95	9	8	-	-
96	2	1	-	-
97	4	3	-	-
98	2	1	-	-
99	2	1	-	-
100	4	3	-	-
101	2	1	-	-
102	8	7	-	-
103	3	2	-	-
104	5	4	-	-
105	3	2	-	-
106	22	22	match	-
107	9	8	-	-
108	6	5	-	-
109	2	1	-	-
110	2	1	-	-
111	2	1	-	-
112	2	1	-	-
113	4	3	-	-
114	14	12	-	-
115	4	3	-	-
116	3	2	-	-
117	2	2	match	-
118	3	2	-	-
119	2	1	-	-
120	2	1	-	-
121	2	1	-	-
122	7	6	-	-
123	3	2	-	-
124	2	1	-	-
125	15	13	-	-
126	2	2	match	-
127	3	2	-	-
128	2	2	match	match
129	6	6	match	-
130	4	2	-	-
131	12	10	-	-
132	2	1	-	-
133	5	4	-	-
134	2	2	match	-
135	3	2	-	-
136	2	1	-	-
137	2	1	-	-
138	3	2	-	-
139	2	1	-	-
140	4	3	-	-
141	12	12	match	-
142	2	1	-	-
143	4	3	-	-
144	4	3	-	-
145	2	1	-	-
146	3	2	-	-
147	2	1	-	-
148	2	2	match	-
149	9	8	-	-
150	3	3	match	-
151	5	3	-	-
152	5	4	-	-
153	4	2	-	-
154	4	4	match	match
155	3	2	-	-
156	3	2	-	-
157	11	10	-	-
158	2	1	-	-
159	5	5	match	-
160	7	6	-	-
161	2	1	-	-
162	6	5	-	-
163	2	1	-	-
164	2	1	-	-
165	3	2	-	-
166	2	2	match	-
167	2	2	match	match
168	4	2	-	-
169	3	2	-	-
170	2	1	-	-
171	4	3	-	-
172	9	8	-	-
173	2	1	-	-
174	3	2	-	-
175	3	2	-	-
176	3	2	-	-
177	4	3	-	-
178	3	2	-	-
179	2	2	match	match
180	2	1	-	-
181	2	1	-	-
182	2	1	-	-
183	5	5	match	-
184	2	1	-	-
185	3	2	-	-
186	2	2	match	match
187	9	8	-	-
188	3	2	-	-
189	3	2	-	-
190	2	0	-	-
191	2	1	-	-
192	4	3	-	-
193	4	3	-	-
194	3	2	-	-
195	12	11	-	-
196	2	1	-	-
197	11	9	-	-
198	2	1	-	-
199	3	3	match	match
200	4	3	-	-
201	3	2	-	-
202	2	1	-	-
203	4	4	match	match
204	2	1	-	-
205	2	1	-	-
206	6	5	-	-
207	5	4	-	-
208	2	1	-	-
209	3	2	-	-
210	2	2	match	-
211	2	1	-	-
212	5	4	-	-
213	7	6	-	-
214	4	3	-	-
215	3	2	-	-
216	7	7	match	-
217	2	1	-	-
218	6	5	-	-
219	2	1	-	-
220	2	1	-	-
221	2	2	match	-
222	3	2	-	-
223	2	1	-	-
224	2	1	-	-
225	14	13	-	-
226	11	10	-	-
227	3	2	-	-
228	2	2	match	-
229	2	1	-	-
230	3	2	-	-
231	9	6	-	-
232	3	2	-	-
233	2	1	-	-
234	3	2	-	-
235	2	0	-	-
236	8	7	-	-
237	3	3	match	match
238	2	1	-	-
239	2	1	-	-
240	2	1	-	-
241	3	2	-	-
242	6	4	-	-
243	8	7	-	-
244	2	1	-	-
245	4	1	-	-
246	2	1	-	-
247	2	1	-	-
248	3	3	match	-
249	3	2	-	-
250	3	2	-	-
251	3	2	-	-
252	3	2	-	-
253	2	1	-	-
254	2	1	-	-
255	2	1	-	-
256	4	4	match	-
257	2	2	match	-
258	2	2	match	-
259	3	2	-	-
260	2	1	-	-
261	3	2	-	-
262	2	1	-	-
263	2	1	-	-
264	3	2	-	-
265	4	3	-	-
266	2	1	-	-
267	2	1	-	-
268	2	0	-	-
269	2	1	-	-
270	2	1	-	-
271	2	0	-	-
272	3	2	-	-
273	2	1	-	-
274	2	1	-	-
275	3	2	-	-
276	3	2	-	-
277	2	1	-	-
278	3	2	-	-
279	3	2	-	-
280	2	1	-	-
281	3	2	-	-
282	2	1	-	-
283	2	2	match	-
284	6	5	-	-
285	3	2	-	-
286	2	1	-	-
287	3	2	-	-
288	2	2	match	-
289	2	1	-	-
290	2	0	-	-
291	2	1	-	-
292	2	1	-	-
293	2	2	match	match
294	2	1	-	-
295	8	6	-	-
296	2	1	-	-
297	6	4	-	-
298	2	1	-	-
299	3	2	-	-
300	2	2	match	match
301	2	1	-	-
302	2	1	-	-
303	3	3	match	match
304	2	1	-	-
305	16	13	-	-
306	2	2	match	match
307	2	1	-	-
308	2	1	-	-
309	2	1	-	-
310	3	2	-	-
311	2	1	-	-
312	4	4	match	-
313	4	3	-	-
314	7	6	-	-
315	3	2	-	-
316	2	2	match	-
317	4	3	-	-
318	2	1	-	-
319	3	3	match	match
320	2	1	-	-
321	3	2	-	-
322	2	1	-	-
323	2	2	match	match
324	2	1	-	-
325	9	7	-	-
326	34	33	-	-
327	2	2	match	-
328	2	1	-	-
329	2	1	-	-
330	2	1	-	-
331	4	3	-	-
332	2	2	match	match
333	2	1	-	-
334	2	1	-	-
335	2	1	-	-
336	2	1	-	-
337	2	0	-	-
338	3	2	-	-
339	8	7	-	-
340	8	7	-	-
341	2	1	-	-
342	2	1	-	-
343	2	1	-	-
344	8	7	-	-
345	4	3	-	-
346	2	1	-	-
347	2	1	-	-
348	3	2	-	-
349	2	1	-	-
350	2	2	match	-
351	3	1	-	-
352	2	1	-	-
353	5	4	-	-
354	2	1	-	-
355	7	6	-	-
356	5	4	-	-
357	3	2	-	-
358	2	1	-	-
359	2	1	-	-
360	2	1	-	-
361	2	1	-	-
362	2	1	-	-
363	3	2	-	-
364	8	7	-	-
365	2	2	match	-
366	2	1	-	-
367	6	5	-	-
368	3	2	-	-
369	2	1	-	-
370	2	2	match	-
371	5	5	match	match
372	2	1	-	-
373	9	7	-	-
374	2	2	match	-
375	2	2	match	-
376	2	1	-	-
377	4	4	match	match
378	8	8	match	-
379	3	3	match	-
380	2	1	-	-
381	2	2	match	-
382	2	2	match	match
383	2	1	-	-
384	2	2	match	-
385	5	4	-	-
386	9	9	match	-
387	2	2	match	match
388	2	1	-	-
389	2	1	-	-
390	2	1	-	-
391	2	1	-	-
392	2	1	-	-
393	5	4	-	-
394	10	9	-	-
395	2	1	-	-
396	2	1	-	-
397	4	3	-	-
398	3	2	-	-
399	2	1	-	-
400	4	3	-	-
401	13	11	-	-
402	2	1	-	-
403	5	4	-	-
404	2	1	-	-
405	3	2	-	-
406	2	0	-	-
407	2	1	-	-
408	8	8	match	-
409	2	0	-	-
410	2	1	-	-
411	2	1	-	-
412	5	4	-	-
413	2	1	-	-
414	14	10	-	-
415	2	0	-	-
416	2	2	match	-
417	8	7	-	-
418	2	1	-	-
419	2	1	-	-
420	3	3	match	-
421	2	1	-	-
422	2	1	-	-
423	3	2	-	-
424	2	1	-	-
425	2	1	-	-
426	2	1	-	-
427	3	2	-	-
428	6	4	-	-
429	2	1	-	-
430	2	2	match	match
431	4	3	-	-
432	2	2	match	-
433	2	1	-	-
434	2	1	-	-
435	2	2	match	-
436	2	1	-	-
437	4	3	-	-
438	3	2	-	-
439	4	3	-	-
440	3	2	-	-
441	2	1	-	-
442	2	1	-	-
443	5	5	match	-
444	3	2	-	-
445	4	4	match	match
446	5	4	-	-
447	2	2	match	-
448	10	8	-	-
449	2	1	-	-
450	3	3	match	match
451	3	2	-	-
452	2	1	-	-
453	2	1	-	-
454	2	1	-	-
455	2	1	-	-
456	3	2	-	-
457	2	2	match	-
458	2	1	-	-
459	2	1	-	-
460	2	0	-	-
461	2	1	-	-
462	2	1	-	-
463	2	1	-	-
464	5	5	match	-
465	3	2	-	-
466	3	2	-	-
467	3	2	-	-
468	2	1	-	-
469	2	1	-	-
470	2	1	-	-
471	14	13	-	-
472	6	5	-	-
473	2	1	-	-
474	2	1	-	-
475	2	1	-	-
476	3	3	match	-
477	2	1	-	-
478	2	1	-	-
479	5	4	-	-
480	2	2	match	match
481	3	2	-	-
482	2	1	-	-
483	2	2	match	match
484	2	1	-	-
485	2	2	match	-
486	2	1	-	-
487	3	2	-	-
488	2	1	-	-
489	2	1	-	-
490	6	5	-	-
491	2	2	match	-
492	3	2	-	-
493	2	1	-	-
494	6	5	-	-
495	2	2	match	-
496	3	2	-	-
497	2	1	-	-
498	2	1	-	-
499	8	7	-	-
500	3	1	-	-
501	4	4	match	match
502	2	1	-	-
503	3	2	-	-
504	2	0	-	-
505	2	1	-	-
506	2	1	-	-
507	4	3	-	-
508	4	3	-	-
509	5	4	-	-
510	2	2	match	match
511	5	4	-	-
512	2	1	-	-
513	5	3	-	-
514	2	1	-	-
515	2	1	-	-
516	3	2	-	-
517	3	2	-	-
518	3	1	-	-
519	2	2	match	match
520	2	1	-	-
521	2	2	match	match
522	3	2	-	-
523	3	3	match	match
524	2	2	match	-
525	2	1	-	-
526	2	1	-	-
527	8	6	-	-
528	2	1	-	-
529	2	1	-	-
530	10	7	-	-
531	2	1	-	-
532	3	2	-	-
533	2	1	-	-
534	2	1	-	-
535	2	2	match	-
536	2	0	-	-
537	2	1	-	-
538	7	6	-	-
539	6	5	-	-
540	3	2	-	-
541	6	5	-	-
542	4	3	-	-
543	6	5	-	-
544	2	1	-	-
545	2	1	-	-
546	2	2	match	match
547	4	3	-	-
548	2	1	-	-
549	2	1	-	-
550	2	1	-	-
551	3	2	-	-
552	2	2	match	match
553	2	2	match	match
554	3	3	match	-
555	2	1	-	-
556	3	3	match	-
557	3	2	-	-
558	2	1	-	-
559	2	1	-	-
560	2	1	-	-
561	2	1	-	-
562	2	1	-	-
563	2	2	match	-
564	3	2	-	-
565	2	1	-	-
566	2	1	-	-
567	2	2	match	-
568	2	1	-	-
569	2	1	-	-
570	2	1	-	-
571	2	1	-	-
572	3	2	-	-
573	5	4	-	-
574	2	1	-	-
575	2	1	-	-
576	2	2	match	-
577	2	1	-	-
578	3	3	match	match
579	2	1	-	-
580	2	0	-	-
581	11	11	match	-
582	2	2	match	-
583	4	3	-	-
584	3	2	-	-
585	3	3	match	-
586	2	2	match	match
587	2	2	match	-
588	2	2	match	-
589	4	3	-	-
590	5	5	match	-
591	4	4	match	match
592	2	2	match	match
593	2	1	-	-
594	2	2	match	-
595	2	2	match	-
596	2	1	-	-
597	4	3	-	-
598	11	8	-	-
599	3	2	-	-
600	2	2	match	match
601	2	1	-	-
602	2	2	match	-
603	4	3	-	-
604	3	2	-	-
605	2	1	-	-
606	2	1	-	-
607	2	1	-	-
608	2	1	-	-
609	2	2	match	match
610	3	1	-	-
611	2	2	match	-
612	2	2	match	match
613	3	2	-	-
614	4	3	-	-
615	3	3	match	-
616	2	2	match	-
617	2	1	-	-
618	3	2	-	-
619	4	3	-	-
620	3	2	-	-
621	2	1	-	-
622	3	2	-	-
623	2	1	-	-
624	17	16	-	-
625	3	2	-	-
626	6	6	match	-
627	3	3	match	match
628	2	1	-	-
629	2	1	-	-
630	3	3	match	-
631	2	1	-	-
632	3	2	-	-
633	2	2	match	match
634	2	0	-	-
635	2	1	-	-
636	2	1	-	-
637	2	2	match	-
638	4	3	-	-
639	5	4	-	-
640	2	1	-	-
641	2	1	-	-
642	2	1	-	-
643	3	3	match	-
644	2	1	-	-
645	2	1	-	-
646	2	1	-	-
647	6	5	-	-
648	7	5	-	-
649	2	1	-	-
650	3	2	-	-
651	2	1	-	-
652	2	1	-	-
653	2	1	-	-
654	3	2	-	-
655	6	5	-	-
656	5	5	match	match
657	2	1	-	-
658	2	2	match	match
659	3	2	-	-
660	2	1	-	-
661	2	1	-	-
662	4	3	-	-
663	4	4	match	-
664	2	1	-	-
665	2	1	-	-
666	2	1	-	-
667	5	3	-	-
668	2	2	match	-
669	3	1	-	-
670	2	2	match	match
671	3	2	-	-
672	7	6	-	-
673	3	3	match	-
674	6	6	match	match
675	5	4	-	-
676	4	2	-	-
677	2	2	match	match
678	2	1	-	-
679	2	1	-	-
680	3	2	-	-
681	2	1	-	-
682	2	0	-	-
683	4	3	-	-
684	5	5	match	match
685	8	7	-	-
686	2	1	-	-
687	2	1	-	-
688	3	2	-	-
689	2	1	-	-
690	2	2	match	match
691	8	6	-	-
692	2	1	-	-
693	2	2	match	-
694	4	3	-	-
695	2	1	-	-
696	2	1	-	-
697	2	1	-	-
698	4	4	match	-
699	2	1	-	-
700	2	1	-	-
701	3	2	-	-
702	2	2	match	-
703	2	1	-	-
704	2	1	-	-
705	2	1	-	-
706	2	1	-	-
707	2	1	-	-
708	2	2	match	match
709	3	2	-	-
710	2	1	-	-
711	6	4	-	-
712	10	8	-	-
713	10	9	-	-
714	4	3	-	-
715	3	1	-	-
716	4	3	-	-
717	3	2	-	-
718	4	1	-	-
719	4	3	-	-
720	5	4	-	-
721	2	1	-	-
722	3	2	-	-
723	3	2	-	-
724	6	5	-	-
725	28	22	-	-
726	2	1	-	-
727	2	1	-	-
728	2	1	-	-
729	3	2	-	-
730	3	2	-	-
731	5	4	-	-
732	3	2	-	-
733	2	1	-	-
734	3	2	-	-
735	3	2	-	-
736	4	3	-	-
737	3	2	-	-
738	2	1	-	-
739	2	1	-	-
740	2	0	-	-
741	2	2	match	-
742	3	2	-	-
743	2	2	match	-
744	2	2	match	match
745	2	1	-	-
746	4	4	match	-
747	2	0	-	-
748	2	1	-	-
749	2	1	-	-
750	3	2	-	-
751	2	1	-	-
752	2	1	-	-
753	2	1	-	-
754	3	2	-	-
755	2	1	-	-
756	2	1	-	-
757	4	3	-	-
758	30	27	-	-
759	2	1	-	-
760	4	3	-	-
761	5	5	match	-
762	3	2	-	-
763	3	2	-	-
764	38	32	-	-
765	10	9	-	-
766	13	12	-	-
767	2	1	-	-
768	2	1	-	-
769	9	8	-	-
770	6	5	-	-
771	3	1	-	-
772	3	2	-	-
773	2	1	-	-
774	2	1	-	-
775	2	0	-	-
776	2	1	-	-
777	3	3	match	match
778	2	1	-	-
779	4	3	-	-
780	6	5	-	-
781	5	4	-	-
782	2	1	-	-
783	2	1	-	-
784	2	1	-	-
785	2	1	-	-
786	14	12	-	-
787	3	2	-	-
788	3	2	-	-
789	2	1	-	-
790	3	2	-	-
791	2	1	-	-
792	3	2	-	-
793	5	4	-	-
794	2	1	-	-
795	2	1	-	-
796	3	1	-	-
797	3	2	-	-
798	7	6	-	-
799	4	3	-	-
800	10	9	-	-
801	2	1	-	-
802	6	5	-	-
803	2	1	-	-
804	2	2	match	match
805	2	1	-	-
806	3	1	-	-
807	5	4	-	-
808	3	2	-	-
809	3	2	-	-
810	4	3	-	-
811	2	1	-	-
812	2	1	-	-
813	2	1	-	-
814	2	1	-	-
815	2	1	-	-
816	2	1	-	-
817	2	1	-	-
818	2	1	-	-
819	4	4	match	-
820	3	2	-	-
821	9	8	-	-
822	3	2	-	-
823	2	1	-	-
824	4	3	-	-
825	3	1	-	-
826	22	21	-	-
827	8	5	-	-
828	2	1	-	-
829	2	1	-	-
830	2	1	-	-
831	2	1	-	-
832	2	1	-	-
833	3	2	-	-
834	2	1	-	-
835	2	1	-	-
836	2	2	match	match
837	3	3	match	-
838	4	2	-	-
839	3	3	match	match
840	3	3	match	-
841	2	1	-	-
842	2	1	-	-
843	2	2	match	-
844	2	1	-	-
845	2	1	-	-
846	6	3	-	-
847	4	4	match	match
848	2	1	-	-
849	3	2	-	-
850	2	1	-	-
851	2	0	-	-
852	2	1	-	-
853	3	2	-	-
854	4	3	-	-
855	2	1	-	-
856	2	2	match	match
857	9	7	-	-
858	3	2	-	-
859	2	1	-	-
860	3	2	-	-
861	3	2	-	-
862	2	1	-	-
863	2	1	-	-
864	3	3	match	-
