Block	CountA	CountB	SNVs	Haplotype
1	2	1	-	-
2	2	1	-	-
3	2	2	match	match
4	2	2	match	match
5	2	1	-	-
6	3	2	-	-
7	2	1	-	-
8	2	1	-	-
9	2	1	-	-
10	2	1	-	-
11	2	1	-	-
12	2	1	-	-
13	2	1	-	-
14	2	1	-	-
15	2	2	match	-
16	2	2	match	match
17	2	2	match	-
18	2	1	-	-
19	2	1	-	-
20	2	2	match	match
21	2	1	-	-
22	2	1	-	-
23	2	1	-	-
24	2	1	-	-
25	5	4	-	-
26	3	3	match	match
27	3	2	-	-
28	2	1	-	-
29	3	2	-	-
30	3	2	-	-
31	2	1	-	-
32	2	1	-	-
33	5	4	-	-
34	5	5	match	-
35	2	1	-	-
36	2	1	-	-
37	2	1	-	-
38	7	6	-	-
39	2	1	-	-
40	2	1	-	-
41	3	2	-	-
42	7	6	-	-
43	5	3	-	-
44	5	4	-	-
45	4	3	-	-
46	2	1	-	-
47	2	2	match	-
48	2	1	-	-
49	5	4	-	-
50	2	1	-	-
51	5	4	-	-
52	4	4	match	-
53	2	1	-	-
54	3	3	match	match
55	5	5	match	-
56	8	7	-	-
57	2	1	-	-
58	2	1	-	-
59	3	2	-	-
60	2	1	-	-
61	3	2	-	-
62	2	2	match	match
63	3	2	-	-
64	3	1	-	-
65	9	7	-	-
66	11	7	-	-
67	21	13	-	-
68	2	1	-	-
69	12	8	-	-
70	2	1	-	-
71	3	2	-	-
72	3	3	match	-
73	2	0	-	-
74	2	1	-	-
75	2	2	match	match
76	5	2	-	-
77	2	1	-	-
78	2	2	match	-
79	2	1	-	-
80	2	1	-	-
81	3	3	match	-
82	3	3	match	-
83	5	4	-	-
84	2	1	-	-
85	2	1	-	-
86	5	4	-	-
87	4	3	-	-
88	2	1	-	-
89	2	2	match	-
90	11	8	-	-
91	9	7	-	-
92	3	2	-	-
93	2	1	-	-
94	2	1	-	-
95	3	3	match	-
96	9	8	-	-
97	2	1	-	-
98	4	3	-	-
99	2	1	-	-
100	2	1	-	-
101	4	3	-	-
102	2	1	-	-
103	8	7	-	-
104	3	2	-	-
105	5	4	-	-
106	3	2	-	-
107	22	21	-	-
108	9	9	match	-
109	6	5	-	-
110	2	1	-	-
111	2	1	-	-
112	2	1	-	-
113	2	1	-	-
114	4	3	-	-
115	14	12	-	-
116	2	0	-	-
117	4	3	-	-
118	3	2	-	-
119	2	1	-	-
120	3	3	match	match
121	2	1	-	-
122	2	1	-	-
123	2	1	-	-
124	7	5	-	-
125	3	3	match	-
126	2	1	-	-
127	15	13	-	-
128	3	1	-	-
129	3	3	match	match
130	2	1	-	-
131	6	6	match	-
132	4	3	-	-
133	12	10	-	-
134	2	1	-	-
135	5	4	-	-
136	2	1	-	-
137	3	3	match	-
138	2	1	-	-
139	2	1	-	-
140	3	2	-	-
141	2	1	-	-
142	4	2	-	-
143	12	12	match	-
144	2	2	match	-
145	5	3	-	-
146	4	3	-	-
147	2	1	-	-
148	3	2	-	-
149	2	1	-	-
150	2	1	-	-
151	9	8	-	-
152	3	3	match	-
153	5	4	-	-
154	5	4	-	-
155	4	2	-	-
156	4	3	-	-
157	3	3	match	match
158	3	2	-	-
159	11	10	-	-
160	2	1	-	-
161	5	4	-	-
162	7	7	match	match
163	2	1	-	-
164	6	5	-	-
165	2	1	-	-
166	2	1	-	-
167	3	2	-	-
168	2	1	-	-
169	3	3	match	-
170	4	2	-	-
171	3	2	-	-
172	2	1	-	-
173	4	3	-	-
174	9	8	-	-
175	2	1	-	-
176	3	2	-	-
177	3	2	-	-
178	3	2	-	-
179	4	3	-	-
180	3	2	-	-
181	2	1	-	-
182	2	2	match	match
183	2	1	-	-
184	2	1	-	-
185	5	4	-	-
186	2	2	match	-
187	3	2	-	-
188	2	1	-	-
189	9	9	match	match
190	3	2	-	-
191	3	2	-	-
192	2	0	-	-
193	2	1	-	-
194	4	3	-	-
195	4	3	-	-
196	3	2	-	-
197	12	11	-	-
198	2	1	-	-
199	11	9	-	-
200	2	1	-	-
201	3	2	-	-
202	4	4	match	match
203	3	2	-	-
204	2	1	-	-
205	4	3	-	-
206	2	2	match	match
207	2	1	-	-
208	6	5	-	-
209	5	4	-	-
210	2	1	-	-
211	3	2	-	-
212	2	1	-	-
213	2	2	match	-
214	5	3	-	-
215	7	7	match	-
216	4	3	-	-
217	3	2	-	-
218	7	6	-	-
219	2	2	match	match
220	6	5	-	-
221	2	1	-	-
222	2	1	-	-
223	2	1	-	-
224	3	3	match	-
225	2	1	-	-
226	2	1	-	-
227	14	13	-	-
228	11	10	-	-
229	3	2	-	-
230	2	1	-	-
231	2	2	match	match
232	3	2	-	-
233	9	6	-	-
234	3	2	-	-
235	2	1	-	-
236	3	2	-	-
237	2	0	-	-
238	8	7	-	-
239	3	2	-	-
240	2	2	match	-
241	2	1	-	-
242	2	1	-	-
243	3	2	-	-
244	6	4	-	-
245	8	7	-	-
246	2	1	-	-
247	4	1	-	-
248	2	1	-	-
249	2	1	-	-
250	3	2	-	-
251	3	3	match	-
252	3	2	-	-
253	3	2	-	-
254	3	2	-	-
255	2	1	-	-
256	2	1	-	-
257	2	1	-	-
258	4	4	match	match
259	2	2	match	match
260	2	1	-	-
261	3	3	match	-
262	2	1	-	-
263	3	2	-	-
264	2	1	-	-
265	3	1	-	-
266	3	2	-	-
267	4	3	-	-
268	2	1	-	-
269	2	1	-	-
270	2	0	-	-
271	2	1	-	-
272	2	1	-	-
273	2	0	-	-
274	3	2	-	-
275	2	1	-	-
276	2	1	-	-
277	3	2	-	-
278	3	2	-	-
279	2	1	-	-
280	3	2	-	-
281	3	2	-	-
282	2	1	-	-
283	3	2	-	-
284	2	1	-	-
285	2	1	-	-
286	6	5	-	-
287	3	3	match	-
288	2	1	-	-
289	3	2	-	-
290	2	1	-	-
291	2	2	match	match
292	2	0	-	-
293	2	1	-	-
294	2	1	-	-
295	2	1	-	-
296	2	2	match	match
297	8	6	-	-
298	2	1	-	-
299	6	4	-	-
300	2	1	-	-
301	3	2	-	-
302	2	1	-	-
303	2	2	match	match
304	2	1	-	-
305	3	2	-	-
306	2	2	match	match
307	17	13	-	-
308	2	1	-	-
309	2	2	match	-
310	2	1	-	-
311	2	1	-	-
312	3	2	-	-
313	2	1	-	-
314	4	3	-	-
315	4	4	match	match
316	7	6	-	-
317	3	2	-	-
318	2	2	match	match
319	4	3	-	-
320	2	1	-	-
321	3	2	-	-
322	2	2	match	match
323	3	2	-	-
324	2	1	-	-
325	2	1	-	-
326	2	2	match	match
327	9	7	-	-
328	34	33	-	-
329	2	1	-	-
330	2	2	match	match
331	2	1	-	-
332	2	1	-	-
333	4	2	-	-
334	2	2	match	match
335	2	2	match	-
336	2	1	-	-
