Block	CountA	CountB	SNVs	Haplotype
1	3	2	-	-
2	7	4	-	-
3	4	4	match	-
4	23	9	-	-
5	2	2	match	match
6	2	2	match	match
7	2	0	-	-
8	3	2	-	-
9	2	2	match	match
10	18	12	-	-
11	2	0	-	-
12	2	2	match	match
13	2	2	match	match
14	21	14	-	-
15	2	0	-	-
16	2	0	-	-
17	24	11	-	-
18	3	2	-	-
19	24	14	-	-
20	18	2	-	-
21	2	0	-	-
22	14	9	-	-
23	3	0	-	-
24	2	2	match	match
25	57	37	-	-
26	3	2	-	-
27	2	0	-	-
28	5	5	match	match
29	33	22	-	-
30	2	2	match	match
31	2	2	match	match
32	14	10	-	-
33	20	14	-	-
34	50	41	-	-
35	2	2	match	match
36	2	2	match	match
37	3	3	match	match
38	55	28	-	-
39	3	3	match	match
40	70	42	-	-
41	39	30	-	-
42	4	4	match	match
43	9	4	-	-
44	13	10	-	-
45	4	4	match	match
46	44	42	-	-
47	6	6	match	match
48	2	2	match	match
49	2	2	match	match
50	2	2	match	match
51	3	2	-	-
52	27	18	-	-
53	10	7	-	-
54	2	0	-	-
55	2	0	-	-
56	4	2	-	-
57	3	3	match	match
58	3	2	-	-
59	2	0	-	-
60	2	0	-	-
61	2	2	match	match
62	11	11	match	match
63	3	3	match	match
64	2	0	-	-
65	22	20	-	-
66	17	14	-	-
67	2	2	match	match
68	6	6	match	match
69	4	4	match	match
70	5	5	match	match
71	2	2	match	match
72	147	101	-	-
73	4	4	match	match
74	2	0	-	-
75	5	5	match	match
76	3	3	match	match
77	3	3	match	match
78	5	4	-	-
79	6	3	-	-
80	2	2	match	match
81	7	6	-	-
82	3	3	match	match
83	7	6	-	-
84	9	9	match	match
85	2	2	match	match
86	2	0	-	-
87	3	3	match	match
88	3	3	match	match
89	7	7	match	match
90	3	3	match	match
91	3	2	-	-
92	31	26	-	-
93	2	2	match	match
94	2	2	match	match
95	9	4	-	-
96	3	3	match	match
97	4	4	match	match
98	4	4	match	match
99	34	31	-	-
100	2	2	match	match
101	12	9	-	-
102	4	4	match	match
103	67	43	-	-
104	230	125	-	-
105	7	7	match	match
106	3	3	match	match
107	3	3	match	match
108	3	3	match	match
109	35	20	-	-
110	2	2	match	match
111	76	36	-	-
112	4	2	-	-
113	4	3	-	-
114	46	23	-	-
115	21	7	-	-
116	92	52	-	-
117	3	2	-	-
118	3	2	-	-
119	2	2	match	match
120	2	2	match	match
121	2	2	match	match
122	2	0	-	-
123	2	2	match	match
124	4	2	-	-
